Text,Category
The criminal mastermind was finally apprehended.,criminal
"Both parties, Alice and Bob, agree to divorce by mutual consent.",family
Constructive notice of the property boundary was established by the surveyor's markers.,legal_notice
The defendant's criminal defense relied on an alibi.,criminal
Mutual understanding: Ava and Michael opt for a divorce by consent.,family
The gift deed was executed as part of estate planning.,contract
I am pursuing a divorce to find peace away from cruelty.,family
The implied notice of the policy change was conveyed through the updated handbook.,legal_notice
The jury deliberated and reached a verdict of guilty.,criminal
The public notice informed residents of the changes in recycling pickup schedules.,legal_notice
The contract specifies the termination process.,contract
The criminal justice system aims to ensure fairness.,criminal
"I am the custodial parent of my children, and I require permanent maintenance to ensure their financial security and well-being.",family
The implied notice of termination was given through the employee's consistent poor performance.,legal_notice
The defendant appealed the verdict to the appellate court.,criminal
The judge issued an injunction to stop the dissemination of confidential information.,civil
Mutual decision: Sophia and Benjamin have chosen to divorce.,family
The implied notice of confidentiality was implied by the non-disclosure agreement.,legal_notice
A writ of fieri facias was employed to seize the defendant's property for debt satisfaction.,civil
The discovery of adultery has made reconciliation impossible.,family
An actual notice was served to the property owner regarding the code violations.,legal_notice
The defendant's criminal record included prior convictions.,criminal
The appellate court upheld the lower court's decision.,criminal
An actual notice was sent to the defendant regarding the arbitration hearing.,legal_notice
I am pursuing a divorce to escape the betrayal of adultery.,family
An actual notice was sent to the customer regarding the product recall.,legal_notice
Both parties agreed to the non-disclosure agreement (NDA).,contract
The judge issued a search warrant to collect evidence.,criminal
The court issued an anti-suit injunction to stop parallel litigation in another jurisdiction.,civil
Permanent maintenance is essential for me as I am unable to cover my living expenses after the divorce settlement.,family
The judge issued a bench warrant for the defendant's arrest.,criminal
The gift deed was filed with the county recorder's office.,contract
Constructive notice of the property's utility easement was provided by the utility poles.,legal_notice
My spouse's behavior has been extremely cruel towards me.,family
A writ of attachment was employed to seize the defendant's assets.,civil
A writ of replevin was used to recover stolen property from the defendant.,civil
An agreement to sell the artwork was reached between the parties.,contract
The public notice outlined the changes in tax regulations.,legal_notice
The criminal statute of limitations had expired for the case.,criminal
"The court denied the injunction, allowing the construction project to proceed.",civil
A writ of error was filed to appeal a legal error in a lower court's decision.,civil
"I have no other source of income, and I rely on permanent maintenance to cover my daily expenses and maintain a stable life.",family
The affair has created a breach of trust that cannot be mended.,family
The injunction prevented the defendant from selling counterfeit goods.,civil
The contract outlines the payment terms and conditions.,contract
The gift deed includes a description of the property being transferred.,contract
"Following the divorce, I need permanent maintenance as I am unable to sustain myself financially. The divorce has left me without independent income.",family
The appellate court reviewed the lower court's decision.,criminal
Both parties signed the construction contract for the project.,contract
The implied notice of the contract breach was based on the missed deadlines.,legal_notice
An actual notice of the divorce proceedings was served to the spouse.,legal_notice
The court ordered a mandatory injunction to repair a boundary fence.,civil
The contract contains a force majeure clause.,contract
A writ of capias was used to secure the defendant's arrest.,civil
The agreement to sell the company shares was finalized.,contract
Forgery of a signature on a negotiable instrument is a criminal offense.,criminal
The contract outlines the terms and conditions of the business partnership.,contract
The agreement to sell the business included inventory and equipment.,contract
The court imposed a permanent injunction against workplace harassment.,civil
The contract clearly defines the roles and responsibilities of each party.,contract
The criminal trial involved complex legal arguments.,criminal
The criminal case was dismissed due to lack of evidence.,criminal
A writ of garnishment was used to collect a debt owed by the defendant.,civil
The public notice notified the public of the upcoming school board election.,legal_notice
The court issued an injunction to stop a company from using false advertising.,civil
The implied notice of product recall was communicated through a press release.,legal_notice
The injunction barred the defendant from approaching the plaintiff's property.,civil
Money laundering is often associated with criminal activities.,criminal
The public notice alerted citizens to the changes in voting precincts.,legal_notice
The agreement to sell the real estate property was contingent on inspection.,contract
The defendant's criminal defense attorney argued for a plea deal.,criminal
"My former spouse has a significantly higher income, and I need permanent maintenance to achieve financial equity after the divorce.",family
The criminal conspiracy involved multiple individuals.,criminal
The public notice announced the public hearing on the proposed development project.,legal_notice
A gift deed was executed to transfer ownership of the property.,contract
The affair has left me emotionally drained.,family
A writ of prohibition was sought to prevent a judge from exceeding jurisdiction.,civil
Constructive notice of the property's right of way was established by the paved path.,legal_notice
The prosecution sought the death penalty in the case.,criminal
A writ of subpoena ad testificandum was issued to summon a witness to testify.,civil
The plaintiff requested a mandatory injunction to compel specific performance.,civil
An actual notice was served to the tenant regarding the rent increase.,legal_notice
The public notice informed residents of the road closure for maintenance work.,legal_notice
The defendant's criminal conviction led to incarceration.,criminal
Permanent maintenance is vital to protect my financial interests and secure a fair distribution of resources post-divorce.,family
"I was hit by my spouse, which is an act of cruelty.",family
"I have been granted permanent maintenance as part of the divorce settlement, and I rely on it to meet my financial needs.",family
Permanent maintenance is essential to meet my monthly bills and provide for my children's extracurricular activities.,family
Temporary maintenance is essential to protect the best interests of my children during the divorce process.,family
The defendant exercised their right to remain silent.,criminal
The prosecution filed charges of assault and battery.,criminal
The gift deed was registered with the local authorities.,contract
The plaintiff sought an injunction to prevent the construction of a noisy factory.,civil
The defendant's criminal trial was televised nationally.,criminal
An actual notice of the meeting was sent to all shareholders.,legal_notice
A writ of possession was employed to regain control of leased property.,civil
Temporary maintenance is essential for me to secure legal representation and navigate the complexities of the divorce proceedings.,family
The court ordered a restitution payment for the victim.,criminal
The defendant's criminal activity involved cybercrime.,criminal
A writ of error coram nobis was filed to correct a fundamental error in a prior judgment.,civil
The victim identified the assailant in a police lineup.,criminal
"I am currently unemployed, and I need temporary maintenance to support myself while I search for a job.",family
The public notice informed residents of the upcoming town hall meeting.,legal_notice
The gift deed was notarized to make it legally valid.,contract
A partnership agreement was drafted to formalize the collaboration.,contract
A gift deed was used to transfer ownership of the family heirloom.,contract
Mutual agreement: Emma and Ethan are parting ways amicably.,family
The adultery has led to the decision to divorce.,family
The court considered whether to grant an interlocutory injunction during the trial.,civil
Temporary maintenance is vital to secure temporary housing for myself and my children during the divorce.,family
The appellant filed an appeal against the conviction.,criminal
We signed a legally binding contract for the sale of the property.,contract
The criminal defendant was sentenced to community service.,criminal
Constructive notice of the impending construction was provided by the construction permit.,legal_notice
A writ of habeas testificandum was used to compel a witness's attendance at trial.,civil
The court issued a mandatory injunction to enforce a contract's specific terms.,civil
The contract was reviewed by legal counsel before signing.,contract
We entered into a rental agreement for the apartment.,contract
The defendant was charged with issuing a fraudulent check.,criminal
"I have lost my job recently, and I need temporary maintenance to bridge the gap until I can find new employment.",family
The criminal defense attorney presented a strong case.,criminal
The permanent injunction was issued after a lengthy legal battle.,civil
The affair has made our marriage unbearable.,family
The prosecution called witnesses to testify in court.,criminal
A memorandum of understanding (MOU) was signed as an initial agreement.,contract
The agreement to sell the vintage car was witnessed by a notary public.,contract
Temporary maintenance is necessary for me to afford legal fees and court expenses associated with the divorce.,family
I have chosen to part ways with my unfaithful spouse.,family
Constructive notice of the property's encroachment was established by the fence location.,legal_notice
Temporary maintenance is crucial to ensure that I can afford childcare services while I work to support myself and my children.,family
The public notice announced the availability of government grants for small businesses.,legal_notice
Mutual agreement: Olivia and Alexander are separating amicably.,family
The criminal defendant was sentenced to life in prison.,criminal
"According to family law, I am entitled to permanent maintenance, and I rely on it to meet my basic living expenses.",family
The contract stipulates penalties for breach of contract.,contract
A writ of scire facias was employed to revive a dormant judgment.,civil
The appellate court rendered a judgment in favor of the appellant.,criminal
The criminal investigation uncovered new evidence.,criminal
The implied notice of resignation was evident from the employee's resignation letter.,legal_notice
The agreement to sell the shares was subject to regulatory approval.,contract
A writ of habeas data was filed to access personal data held by a corporation.,civil
The agreement to sell the artwork was a private transaction.,contract
A writ of ne exeat was issued to prevent a parent from taking a child out of the country.,civil
"I have limited financial resources, and I need permanent maintenance to access legal representation and protect my rights.",family
The parties agreed to the terms of the lease contract.,contract
"According to family law, I am entitled to permanent maintenance, and I need it to maintain my independence and financial stability.",family
The defense attorney cross-examined the prosecution's witness.,criminal
Mutual decision: Ava and Samuel have chosen to end their marriage.,family
The contract allows for amendments with mutual consent.,contract
The contract incorporates the terms and conditions of the service agreement.,contract
The court ordered a preliminary injunction to prevent the destruction of evidence.,civil
Temporary maintenance is essential for me to maintain custody of my children and provide for their well-being.,family
The implied notice of non-payment was evident from the unpaid invoices.,legal_notice
"I have filed for divorce, and I need temporary maintenance to ensure that I can continue to pay for my children's education and healthcare.",family
A writ of habeas manum was employed to secure a slave's freedom.,civil
The gift deed transferred ownership of the land to the heirs.,contract
Temporary maintenance is necessary to prevent the depletion of my savings during the divorce proceedings.,family
The criminal trial included expert witness testimony.,criminal
Both parties signed the employment contract.,contract
The constant cruelty has left me emotionally drained.,family
The defendant's criminal history was considered during sentencing.,criminal
The court granted an injunction to halt the demolition of a historic building.,civil
The defendant's criminal conduct was captured on video.,criminal
The implied notice of the contract termination was evident from the letter of termination.,legal_notice
The gift deed was executed to express gratitude to a family member.,contract
Constructive notice of the property's historical significance was established by a plaque.,legal_notice
"I have been a stay-at-home parent, and I need temporary maintenance to transition into the workforce and gain financial independence.",family
The contract specifies the duration of the partnership.,contract
A writ of habeas animalia was sought to release an unlawfully detained animal.,civil
"I have been divorced for over a year, and I need permanent maintenance to continue supporting my elderly family members.",family
My spouse's unfaithfulness cheating has led to our divorce.,family
The criminal trial lasted for several weeks.,criminal
The court issued a permanent injunction to stop pollution of a river.,civil
The injunction prevented the defendant from publishing defamatory statements.,civil
An actual notice was sent to the landlord regarding the lease renewal.,legal_notice
Constructive notice of the building regulations was provided by the posted sign.,legal_notice
The injunction prohibited the use of a patented technology by the defendant.,civil
I cannot ignore the physical and emotional cruelty.,family
Mutual agreement: Rachel and Michael are parting ways amicably.,family
The court ordered a preliminary injunction to preserve evidence in the case.,civil
Constructive notice of the property's utility lines was provided by the utility markers.,legal_notice
The defendant's criminal behavior shocked the community.,criminal
The cruelty has created an unhealthy and unsafe environment.,family
The parties negotiated the terms of the sales agreement.,contract
A writ of execution was issued to enforce a monetary judgment.,civil
Constructive notice of the lawsuit was given through the legal summons.,legal_notice
The criminal defendant had a history of drug addiction.,criminal
A public notice was published in the local newspaper regarding the upcoming zoning changes.,legal_notice
The implied notice of termination was communicated through the supervisor's feedback.,legal_notice
The court granted an injunction to protect the endangered wildlife habitat.,civil
A writ of certiorari was filed to review a lower court's decision.,civil
The accused was arrested for theft and burglary.,criminal
The court issued a writ of habeas corpus to determine the legality of the detention.,civil
Constructive notice of the property's boundary was established by the visible fence.,legal_notice
The gift deed was signed in the presence of witnesses.,contract
The public notice announced the public auction of surplus government equipment.,legal_notice
The gift deed transferred ownership of the house to the new owner.,contract
The implied notice of the policy violation was conveyed through the written warning.,legal_notice
The public notice alerted citizens to the upcoming city council meeting.,legal_notice
An agreement to sell the business assets was reached.,contract
A writ of quo warranto was filed to challenge an individual's right to hold office.,civil
Temporary maintenance is required to protect my children's educational opportunities during the divorce process.,family
A writ of habeas hominem was filed to secure a person's release from illegal custody.,civil
My partner's infidelity has caused great pain.,family
The temporary injunction prevented the eviction of tenants during the dispute.,civil
Constructive notice of the property's easement was established by a recorded document.,legal_notice
The contract outlines the payment schedule for the project.,contract
The implied notice of the copyright infringement was given through the cease and desist letter.,legal_notice
An employment agreement was offered to the candidate.,contract
The parties entered into a joint venture agreement.,contract
The defendant was released on bail pending trial.,criminal
Temporary maintenance is necessary to maintain a safe and stable living environment for my children.,family
The contract contains a dispute resolution clause.,contract
An actual notice of the lawsuit was served to the defendant's attorney.,legal_notice
"Both parties, Emma and William, agree to divorce amicably.",family
A writ of mandamus was filed to compel a government agency to release public records.,civil
The contract specifies the delivery date of the goods.,contract
The criminal code defines various offenses.,criminal
The contract includes a confidentiality clause to protect sensitive information.,contract
The plaintiff initiated a criminal complaint against the fraudster.,criminal
A criminal complaint was filed against the suspect for embezzlement.,criminal
The defendant entered a plea of not guilty.,criminal
The court granted a temporary injunction to protect trade secrets.,civil
An actual notice was sent to the debtor regarding the outstanding debt.,legal_notice
A writ of assistance was used to aid in enforcing a court order.,civil
An actual notice of eviction was served to the tenant.,legal_notice
An actual notice was sent to the defendant regarding the lawsuit.,legal_notice
The victim provided a statement to the police.,criminal
The public notice announced the public consultation on the environmental impact statement.,legal_notice
My spouse's extramarital affair has caused irreparable damage.,family
The agreement to sell the collectibles was brokered by an agent.,contract
The court ordered a temporary restraining order (TRO) to prevent immediate harm.,civil
The prosecution presented evidence of the defendant's intent.,criminal
"After careful consideration, we, Sarah and David, have chosen divorce by mutual consent.",family
A writ of audita querela was filed to seek relief from a judgment due to equitable considerations.,civil
The contract includes an indemnification clause.,contract
The criminal defendant was found guilty of mail fraud.,criminal
